objectid,filename,image_thumb,image_small,object_download,filename_original,compare_id,repeat,title,creator,date,date_text,location,latitude,longitude,description,subject,source,rights,format
fcrnrw_001a,fcrnrw_001a.jpg,/objects/thumbs/fcrnrw_001a_th.jpg,/objects/small/fcrnrw_001a_sm.jpg,/objects/fcrnrw_001a.jpg,DSC_0940.JPG,fcrnrw_001,1680.0191 Big Creek Payette NF 1950s (2).tif,Big Creek Lodge,Micaela Petrini,2019-07-10,2019-07-10,"Edwardsburg, ID; Payette National Forest, ID",45.1275,-115.3242,,Big Creek Lodge; Edwardsburg; fire; backcountry community,,,image/jpeg
fcrnrw_001b,fcrnrw_001b.jpg,/objects/thumbs/fcrnrw_001b_th.jpg,/objects/small/fcrnrw_001b_sm.jpg,/objects/fcrnrw_001b.jpg,1680.0191 Big Creek Payette NF 1950s (2).tif,fcrnrw_001,,Big Creek Lodge and other structures,Creator Unknown,1950,c1950s,"Edwardsburg, ID; Payette National Forest, ID",45.1275,-115.3242,,Big Creek Lodge; Edwardsburg; fire; backcountry community; Idaho Primitive Area,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_002a,fcrnrw_002a.jpg,/objects/thumbs/fcrnrw_002a_th.jpg,/objects/small/fcrnrw_002a_sm.jpg,/objects/fcrnrw_002a.jpg,DSC_0911.JPG,fcrnrw_002,66-74-57 Big Creek.jpg,Big Creek Lodge,Micaela Petrini,2019-07-10,2019-07-10,"Edwardsburg, ID; Payette National Forest, ID",45.1277,-115.3239,,Big Creek Lodge; Edwardsburg; fire; backcountry community,,,image/jpeg
fcrnrw_002b,fcrnrw_002b.jpg,/objects/thumbs/fcrnrw_002b_th.jpg,/objects/small/fcrnrw_002b_sm.jpg,/objects/fcrnrw_002b.jpg,66-74-57 Big Creek.jpg,fcrnrw_002,,Big Creek Lodge in the winter,Creator Unknown,,Date Unknown,"Edwardsburg, ID; Payette National Forest, ID",45.1277,-115.3239,,Big Creek Lodge; Edwardsburg; fire; backcountry community,"Idaho State Archives, Idaho State Historical Society",,image/jpeg
fcrnrw_003a,fcrnrw_003a.jpg,/objects/thumbs/fcrnrw_003a_th.jpg,/objects/small/fcrnrw_003a_sm.jpg,/objects/fcrnrw_003a.jpg,DSC_0334.JPG,fcrnrw_003,2310.0068 Goat Mountain (_Mt.Napier_) From Big Creek Station Idaho NF#85E0.tif,"Goat Mountain from Jacob's Ladder area in Edwardsburg, Idaho",Micaela Petrini,2019-07-19,2019-07-19,"Edwardsburg, ID; Payette National Forest, ID",45.1012,-115.3312,,Goat Mountain; Edwardsburg; Payette National Forest,,,image/jpeg
fcrnrw_003b,fcrnrw_003b.jpg,/objects/thumbs/fcrnrw_003b_th.jpg,/objects/small/fcrnrw_003b_sm.jpg,/objects/fcrnrw_003b.jpg,2310.0068 Goat Mountain (_Mt.Napier_) From Big Creek Station Idaho NF#85E0.tif,fcrnrw_003,,Goat Mountain from the Big Creek Forest Service Work Station,Creator Unknown,,Date Unknown,"Payette National Forest, ID",45.1012,-115.3312,,Goat Mountain; Edwardsburg; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_004a,fcrnrw_004a.jpg,/objects/thumbs/fcrnrw_004a_th.jpg,/objects/small/fcrnrw_004a_sm.jpg,/objects/fcrnrw_004a.jpg,DSC_0987.JPG,fcrnrw_004,2300.0188_Big Creek Ranger Station_spring 1955_Dutch the Palomino FLIP.jpg,"View of the Big Creek Forest Service Work Station Commissary, looking southwest",Micaela Petrini,2019-07-11,2019-07-11,"Payette National Forest, ID",45.1288,-115.3228,,Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest; commissary; corrals,,,image/jpeg
fcrnrw_004b,fcrnrw_004b.jpg,/objects/thumbs/fcrnrw_004b_th.jpg,/objects/small/fcrnrw_004b_sm.jpg,/objects/fcrnrw_004b.jpg,2300.0188_Big Creek Ranger Station_spring 1955_Dutch the Palomino FLIP.jpg,fcrnrw_004,,"View of the Big Creek Commissary and corrals, looking southwest, with Dutch the Palomino in view",Creator Unknown,1955,Spring 1955,"Payette National Forest, ID",45.1288,-115.3228,,Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest; Idaho Primitive Area; commissary; corrals; Forest Service stock,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_005a,fcrnrw_005a.jpg,/objects/thumbs/fcrnrw_005a_th.jpg,/objects/small/fcrnrw_005a_sm.jpg,/objects/fcrnrw_005a.jpg,DSC_0901.JPG,fcrnrw_005,2300.0068_McFadden Mtn_from Big Creek Ranger Station (spring 1955).jpg,View of McFadden Mountain from the Big Creek Forest Service Work Station,Micaela Petrini,2019-07-10,2019-07-10,"Payette National Forest, ID",45.1294,-115.3232,,McFadden Mountain; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_005b,fcrnrw_005b.jpg,/objects/thumbs/fcrnrw_005b_th.jpg,/objects/small/fcrnrw_005b_sm.jpg,/objects/fcrnrw_005b.jpg,2300.0068_McFadden Mtn_from Big Creek Ranger Station (spring 1955).jpg,fcrnrw_005,,View of McFadden Mountain from the Big Creek Forest Service Work Station,Creator Unknown,1955,Spring 1955,"Payette National Forest, ID",45.1294,-115.3232,,McFadden Mountain; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest; Idaho Primitive Area,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
